date,destination_country,change_index
1/6/20,Taiwan,-0.003876190747357010
1/6/20,South Korea,0.0036117550789082200
1/6/20,Maldives,0.0019455985958027300
1/6/20,Japan,0.00798401714507356
1/6/20,India,0.007697535647835710
1/6/20,China,-0.0036539558521533300
1/6/20,Thailand,0.002715169158600730
1/6/20,Malaysia,0.016998970786288500
1/6/20,Indonesia,-0.0007813925649592100
1/6/20,Singapore,-0.006713550034282630
1/13/20,India,-0.12630573143730400
1/13/20,Singapore,0.15658673644183000
1/13/20,Taiwan,0.09587527949782930
1/13/20,South Korea,-0.0011866198226899000
1/13/20,Maldives,-0.0943990830016555
1/13/20,Indonesia,0.06533584302085050
1/13/20,China,-0.09900067799977220
1/13/20,Malaysia,-0.10585640035604600
1/13/20,Thailand,0.06734867329380010
1/13/20,Japan,-0.04595147170504400
1/20/20,Maldives,-0.2735726664158760
1/20/20,Taiwan,0.09229612523186080
1/20/20,China,-0.33664585271479700
1/20/20,Thailand,0.09518009068356410
1/20/20,Japan,-0.020114730553719800
1/20/20,Indonesia,0.1239626267206910
1/20/20,Malaysia,-0.0340135182957603
1/20/20,India,-0.1376905169748180
1/20/20,Singapore,-0.01123122963579360
1/20/20,South Korea,-0.10015978556755700
1/27/20,China,-0.4396850154134040
1/27/20,Taiwan,-0.10636157532411800
1/27/20,India,-0.2369557986687960
1/27/20,Malaysia,-0.10082003685966600
1/27/20,Thailand,-0.0994881336203105
1/27/20,Singapore,-0.11918025215260800
1/27/20,Japan,-0.15568032588419300
1/27/20,Indonesia,0.06857073198678830
1/27/20,Maldives,-0.27046477678169800
1/27/20,South Korea,-0.24310941338293500
2/3/20,Taiwan,-0.1660949679495870
2/3/20,Maldives,-0.31442422248758700
2/3/20,India,-0.2926139414908250
2/3/20,Japan,-0.19212030618754100
2/3/20,China,-0.4030745484330170
2/3/20,Malaysia,-0.09411157243854200
2/3/20,Singapore,-0.15631359593029400
2/3/20,Thailand,-0.13141797009897800
2/3/20,Indonesia,0.04368470153765070
2/3/20,South Korea,-0.31716163947297700
2/10/20,Indonesia,-0.00674287592002118
2/10/20,Singapore,-0.2932553163774530
2/10/20,Malaysia,-0.21015717716186600
2/10/20,Taiwan,-0.2087646057303600
2/10/20,Maldives,-0.5100151747791670
2/10/20,China,-0.40728343445852200
2/10/20,Thailand,-0.22102688546523500
2/10/20,South Korea,-0.28333608163740600
2/10/20,India,-0.31987953036604300
2/10/20,Japan,-0.23571066466956200
2/17/20,Malaysia,-0.1465270380585920
2/17/20,Singapore,-0.38067814077475200
2/17/20,Thailand,-0.1965699931569440
2/17/20,Maldives,-0.3447917764172930
2/17/20,Taiwan,-0.23510895743686900
2/17/20,Japan,-0.3770609973559760
2/17/20,China,-0.4323232765042140
2/17/20,Indonesia,0.05063006576870820
2/17/20,South Korea,-0.4343199872604390
2/17/20,India,-0.3034755049304010
2/24/20,China,-0.43703875340448300
2/24/20,South Korea,-0.6044746639472160
2/24/20,Singapore,-0.4422406236591040
2/24/20,Malaysia,-0.17928771632306200
2/24/20,Taiwan,-0.2827380519305970
2/24/20,Japan,-0.5567378768891700
2/24/20,India,-0.30527967629645400
2/24/20,Thailand,-0.24736062566095000
2/24/20,Indonesia,-0.07660998195344450
2/24/20,Maldives,-0.4238682922776420
3/2/20,Thailand,-0.25321579419841300
3/2/20,Malaysia,-0.21772312392951900
3/2/20,Japan,-0.5580981212603830
3/2/20,Taiwan,-0.216540733511704
3/2/20,India,-0.36514966465961400
3/2/20,Maldives,-0.47982839721881600
3/2/20,Indonesia,-0.26366245380249700
3/2/20,Singapore,-0.383372018982692
3/2/20,South Korea,-0.5249868448696350
3/2/20,China,-0.43167146825533200
3/9/20,China,-0.43702336777145300
3/9/20,Thailand,-0.34285446897169900
3/9/20,Japan,-0.5452566463217870
3/9/20,South Korea,-0.4762898767161200
3/9/20,Malaysia,-0.18882136408402700
3/9/20,India,-0.5185402430713070
3/9/20,Indonesia,-0.36786314440514600
3/9/20,Maldives,-0.34748473486598900
3/9/20,Singapore,-0.18695720633361500
3/9/20,Taiwan,-0.1611495343884530
3/16/20,Singapore,-0.3400997418740570
3/16/20,Thailand,-0.6079341404422340
3/16/20,Indonesia,-0.5404358467362410
3/16/20,Japan,-0.5513251810665790
3/16/20,South Korea,-0.42637193851971400
3/16/20,Maldives,-0.9380664244101430
3/16/20,India,-0.6469311622683860
3/16/20,Taiwan,-0.26592473943739400
3/16/20,Malaysia,-0.6422794758863640
3/16/20,China,-0.39561373017221400
3/23/20,Indonesia,-0.6121560278874150
3/23/20,Taiwan,-0.28404414667078300
3/23/20,Thailand,-0.7232808964528200
3/23/20,China,-0.42627513356359600
3/23/20,Japan,-0.6515607847931820
3/23/20,South Korea,-0.5001184116186730
3/23/20,Singapore,-0.4873260500446920
3/23/20,Malaysia,-0.7164743615613130
3/23/20,India,-0.7572114404199520
3/23/20,Maldives,-1.0618490731919500
3/30/20,Thailand,-0.7311076795677090
3/30/20,Malaysia,-0.7015553297513980
3/30/20,India,-0.7309916103305580
3/30/20,Taiwan,-0.2742892281304480
3/30/20,China,-0.3856117257126870
3/30/20,Maldives,-1.0066246093032100
3/30/20,Singapore,-0.4754088569915510
3/30/20,Japan,-0.744693244462299
3/30/20,Indonesia,-0.570557326048066
3/30/20,South Korea,-0.5193674210296200
4/6/20,China,-0.4380667634750910
4/6/20,Indonesia,-0.5575933626525890
4/6/20,Maldives,-0.5458316184084220
4/6/20,South Korea,-0.5211217986272420
4/6/20,Thailand,-0.7440706213873670
4/6/20,Japan,-0.7789113332726220
4/6/20,Singapore,-0.7436649771343120
4/6/20,Taiwan,-0.2800315195402700
4/6/20,Malaysia,-0.6954819455504170
4/6/20,India,-0.6397775722748480
4/13/20,Thailand,-0.7255646299213530
4/13/20,Japan,-0.7802969802047420
4/13/20,South Korea,-0.5052685924230720
4/13/20,India,-0.6733418137610210
4/13/20,Taiwan,-0.245130213498159
4/13/20,Singapore,-0.7531663870151130
4/13/20,Maldives,-0.860651484217231
4/13/20,China,-0.46239496826007700
4/13/20,Malaysia,-0.6868483993850460
4/13/20,Indonesia,-0.5371783041476150
4/20/20,Thailand,-0.7203304871816240
4/20/20,Malaysia,-0.6810305552254150
4/20/20,Taiwan,-0.20630648147308600
4/20/20,Maldives,-0.9268311409957720
4/20/20,China,-0.49219955570386300
4/20/20,India,-0.6554159673203230
4/20/20,South Korea,-0.3652268555715190
4/20/20,Singapore,-0.7527009618121100
4/20/20,Japan,-0.7774875222116500
4/20/20,Indonesia,-0.5617831530950260
4/27/20,Indonesia,-0.551100884456376
4/27/20,Thailand,-0.7182126238520840
4/27/20,Malaysia,-0.6834081194827760
4/27/20,South Korea,-0.19904472842345
4/27/20,Singapore,-0.7279653033922440
4/27/20,Taiwan,-0.20941995430306600
4/27/20,India,-0.6669201142217000
4/27/20,China,-0.455985213574648
4/27/20,Maldives,-0.9275722281875070
4/27/20,Japan,-0.7670610624581220
5/4/20,Thailand,-0.7332336717265560
5/4/20,Maldives,-0.9495688845489160
5/4/20,Malaysia,-0.6721302240690710
5/4/20,India,-0.7079127042657700
5/4/20,South Korea,-0.39909570716354500
5/4/20,Taiwan,-0.2276560317650310
5/4/20,China,-0.4299365066532830
5/4/20,Singapore,-0.7439876345761200
5/4/20,Japan,-0.7729511495708060
5/4/20,Indonesia,-0.5678737027099270
5/11/20,Japan,-0.7558430871676400
5/11/20,Thailand,-0.7563576546231690
5/11/20,Taiwan,-0.21365537426346200
5/11/20,Malaysia,-0.6900710029777650
5/11/20,South Korea,-0.4683988138000710
5/11/20,Maldives,-1.0210862938098700
5/11/20,India,-0.7805517429949700
5/11/20,Singapore,-0.7922889983689280
5/11/20,Indonesia,-0.6073236305850560
5/11/20,China,-0.358842572284845
